1,Java,Core,Entry,Co oznacza słowo 'final' przy klasie?,"JVM w pierwszej kolejności skompiluje tą klasę, dopiero później pozostałe",Klasa nie może być dziedziczona,Wszystkie metody w tej klasie są finalne,Garbage Collection nie dotyczy instancji tej klasy,"2,3"
2,Java,Core,Entry,Co oznacza słowo 'final' przy metodzie,JVM w pierwszej kolejności wprowadzi tą metodę dopiero później pozostałe,Dana metoda nie jest już metodą wirtualną,Metoda nie może być nadpisana w innej klasie,"Metoda zawsze zwraca obiekt lub null, nawet kiedy jest typu 'void ()'",3
3,Java,Core,Entry,Co oznacza słowo 'final' przy polu w klasie?,pole musi zostać zadeklarowane i zainicjowane jednocześnie,"JVM w pierwszej kolejności tworzy to pole, dopiero po tym kolejne","Można przypisać do niego nową wartość/obiekt tylko i wyłącznie wtedy, kiedy wcześniej przypiszemy do niego 'null'",To pole jest bezpieczne w programowaniu wielowątkowym tzw. 'thread-safe'.,1
4,Java,Core,Entry,"Jaka jest różnica między typem prymitywnym a ""wraper'em""?",Zazwyczaj tyb opakowujący zajmuje więcej miejsca w pamięci,Typy proste nie są obiektami,Zazwyczaj tyb opakowujący zajmuje mniej miejsca w pamięci,Typ opakowujący pozwala na wywołanie metod,"2,4"
5,Java,Core,Entry,Co to jest Autoboxing i Unboxing?,"Jest to domyślna metoda, która przerabia Listę na tablicę i odwrotnie",Są to metody natywne wykorzystywane przez JVM do przesyłania obiektów do innej JVM,"Przeniesienie wartości typu prymitywnego do odpowiadającego mu ""wraper'a"" i odwrotnie","Metody wbudowane w JDK wykorzystywane w trakcie operacji na plikach, np. InputStream, OutputStream",3
6,Java,Core,Junior,Czym różni się 'override' od 'overload' w przypadku metod?,"Override' to wiele metod w różnych klasach, które mają tą samą nazwę i argumenty, ale różnią się ciałem. 'Overload' to wiele metod w tej samej klasie, które mają tą samą nazwę, ale różnią się argumentami i ciałem","Overload' to taka sama metoda w wielu klasach, którą implementuje się z interfejsu, podczas gdy 'Override' to taka sama metoda w wielu klasach, której pierwotna wersja ma anotację @Override","Overload' to wiele metod w różnych klasach, które mają tą samą nazwę i argumenty, ale różnią się ciałem. 'Override' to wiele metod w tej samej klasie, które mają tą samą nazwę, ale różnią się argumentami i ciałem","Override' to taka sama metoda w wielu klasach, którą implementuje się z interfejsu, podczas gdy 'Overload' to taka sama metoda w wielu klasach, której pierwotna wersja ma anotację @Overload",1
7,Java,Core,Junior,Co to jest String pool?,Jest to miejsce w pamięci JVM do którego trafiają wszystkie niepotrzebne obiekty typu 'String',"Specjalna pula w pamięci JVM, przeznaczona do przechowywanie zmiennych typu String","Definiowalny parametr w aplikacji, który określa maksymalną liczbę wątków jakie mogą pracować jednocześnie","Jest to systemowa klasa i jej wbudowane metody, służące do tworzenia nowych obiektów typu String",2
8,Java,Core,Junior,Czy w jednej klasie może być kilka metod o tej samej nazwie?,"Tak, nieskończenie wiele, bez żadnych ograniczeń","Tak, pod warunkiem, że będą się różnić argumentami lub typami zwracanymi",Nie jest to niemożliwe,"Tak, pod warunkiem, że klasa jest finalna",2
9,Java,Core,Junior,Na jakiej zasadzie działa HashMap?,1,1,1,1,1
10,Java,Core,Junior,Czy metoda może być jednocześnie abstract i final?,Tak,"Tak, ale tylko w Jave 10 i wyższych","Nie, jest to niemożliwe","Tak, ale tylko w Jave 8 i wyższych",3
11,Java,Core,Junior,Różnica pomiędzy ArrayList a LinkedList w Javie?,ArrayList pozwala na znacznie szybsze wyszukiwanie i pobieranie pojedyńczego elementu,LinkedList pozwala na znacznie szybsze wyszukanie i usunięcie pojedyńczego elementu,LinkedList pozwala na znacznie szybsze dodawanie nowych elementów niż ArraList,LinkedList wymaga większej ilości pamięci JVM niż ArrayList,"1,2,3,4"
12,Java,Core,Junior,Czym jest Iterator?,"Interfejs pakiety java.utils, który umożliwia tworzenie specjalnego obiektu, poprzez wywołanie metody 'iterator()' na obiekcie, który jest kolekcją.",Interfejs domyślnie stosowany w pętli 'forEach',Obiekt pomocny w operacjach na kolekcjach. Między innymi posiada wbudowaną metodę 'forEachNext()',Interfejs domyślnie stosowany w pętli 'forEach',"1,4"
13,Java,Core,Junior,Jakie typy danych występują w Javie?,"Typy proste: int, float, double, long, boolean, char, short, byte i typy złożone/obiektowe","Typy proste: int, float, double, long, boolean, volatile, short, byte i typy złożone/obiektowe","Typy proste: int, float, double, long, boolean, volatile, short, vector i typy złożone/obiektowe","Java jest językiem obiektowym, wszystkie typy danych są obiektami",1
14,Java,Core,Junior,Czym jest Serializacja (Serialization) i Deserializacja (Deserialization)?,"Deserializacja obiektu jest procesem w trakcie którego jest wywoływany konstruktor danej klasy, aby przetworzyć strumień bajtów na obiekt",Serializacja obiektu zawsze daje nam możliwość określenia nazwy pliku w jakim zapiszemy dany obiekt. Plik ten będzie miał format domyślnie '*.txt',"Konwersja obiektów na strumień bajtów, która umożliwia przesłanie obiektu z jednej aplikacji do innej aplikacji iponowne przetworzenie strumienia na obiekt Javy","Serializacja jest procesem, do którego nie możemy wprowadzać obiektów 'static'","3,4"
15,Java,Core,Junior,Czy argument metody w danej klasie może mieć taką samą nazwę jak pole w tej klasie?,Tak,Nie,null,null,1
